client_id,duration_count,duration_mean,Class
72395,2.0,24.285714285714285,Fast Repeater
72915,1.0,26.8,Fast Passer
72916,1.0,48.8,Slow Passer
72988,1.0,999.0,Slow Passer
73331,1.0,25.2,Fast Passer
73335,1.0,58.0,Slow Passer
73453,1.0,518.0,Slow Passer
73615,1.0,21.75,Fast Passer
73648,1.0,23.6,Fast Passer
73910,1.0,34.0,Slow Passer
74169,1.0,348.25,Slow Passer
74564,2.0,24.0,Fast Repeater
74844,3.0,16.333333333333332,Fast Repeater
74976,3.0,8.857142857142858,Fast Repeater
75033,1.0,35.0,Slow Passer
75381,1.0,5.0,Fast Passer
75490,1.0,16.2,Fast Passer
75642,1.0,49.0,Slow Passer
76424,1.0,24.0,Fast Passer
76429,2.0,15.0,Fast Repeater
76481,3.3333333333333335,4.844444444444445,Fast Repeater
76635,1.0,27.857142857142858,Fast Passer
76775,1.0,6.5,Fast Passer
76776,1.5,13.333333333333332,Fast Repeater
77071,2.0,13.833333333333334,Fast Repeater
77276,1.0,14.2,Fast Passer
77513,2.0,30.571428571428573,Slow Repeater
77933,1.0,10.5,Fast Passer
78720,1.0,999.0,Slow Passer
78728,2.0,22.2,Fast Repeater
78779,2.75,999.0,Slow Repeater
78917,2.0,9.5,Fast Repeater
79127,1.0,30.0,Fast Passer
79229,2.0,10.75,Fast Repeater
79452,1.0,19.4,Fast Passer
79571,1.0,37.0,Slow Passer
79669,5.0,6.0,Fast Repeater
79679,1.0,50.0,Slow Passer
79819,5.0,999.0,Slow Repeater
79897,1.5,18.666666666666668,Fast Repeater
80006,1.0,39.375,Slow Passer
80126,1.0,37.4,Slow Passer
80127,1.0,18.133333333333333,Fast Passer
80241,1.5,511.75,Slow Repeater
80275,3.5,21.142857142857142,Fast Repeater
80479,1.0,32.766666666666666,Slow Passer
80559,1.0,55.8,Slow Passer
80801,1.3333333333333333,353.6666666666667,Slow Repeater
80915,1.0,27.5,Fast Passer
81102,1.0,49.4,Slow Passer
81119,2.0,7.25,Fast Repeater
81303,4.0,40.5,Slow Repeater
81601,1.0,505.94444444444446,Slow Passer
81720,2.5,513.5,Slow Repeater
81816,1.0,5.666666666666667,Fast Passer
81976,1.0,24.5,Fast Passer
82206,1.0,32.666666666666664,Slow Passer
82376,1.0,45.4,Slow Passer
82560,2.0,999.0,Slow Repeater
82566,1.0,35.4,Slow Passer
82712,2.888888888888889,890.1604938271605,Slow Repeater
